Cold Word Appearance in every Document,Total Words (m),Frequency (f)
Article #1,28,0
Article #2,14,1
Article #3,9,0
Article #4,10,0
Article #5,8,0
Article #6,13,0
Article #7,9,1
Article #8,21,0
Article #9,26,1
Article #10,21,0
Article #11,22,0
Article #12,13,1
Article #13,28,0
Article #14,14,0
Article #15,7,0
Article #16,8,0
Article #17,28,2
Article #18,16,1
Article #19,16,1
Article #20,15,1
Article #21,12,0
Article #22,28,0
Article #23,25,0
Article #24,18,1
Article #25,18,0
Article #26,15,0
Article #27,12,0
Article #28,26,1
Article #29,13,0
Article #30,8,0
Article #31,18,0
Article #32,23,1
Article #33,4,0
Article #34,30,0
Article #35,23,0
Article #36,22,0
Article #37,27,0
Article #38,8,1
Article #39,11,0
Article #40,9,0
Article #41,12,1
Article #42,26,1
Article #43,8,0
Article #44,16,1
Article #45,20,1
Article #46,32,0
Article #47,26,1
Article #48,21,1
Article #49,14,0
Article #50,24,1
Article #51,30,3
Article #52,18,0
Article #53,18,0
Article #54,9,0
Article #55,13,0
Article #56,9,0
Article #57,28,1
Article #58,26,1
Article #59,28,0
Article #60,26,0
Article #61,25,0
Article #62,10,0
Article #63,26,1
Article #64,4,0
Article #65,4,0
Article #66,16,0
Article #67,9,0
Article #68,9,0
Article #69,14,0
Article #70,7,0
Article #71,8,1
Article #72,26,0
Article #73,15,0
Article #74,19,0
Article #75,7,0
Article #76,18,0
Article #77,17,1
Article #78,5,0
Article #79,17,0
Article #80,8,0
Article #81,25,1
Article #82,16,1
Article #83,8,0
Article #84,26,0
Article #85,23,2
Article #86,12,0
Article #87,9,0
Article #88,13,1
Article #89,13,0
Article #90,23,0
Article #91,10,0
Article #92,10,0
Article #93,28,0
Article #94,11,0
Article #95,25,0
Article #96,25,0
Article #97,24,1
Article #98,22,1
Article #99,19,1
Article #100,9,0
Article #101,22,1
Article #102,28,0
Article #103,11,1
Article #104,10,0
Article #105,8,0
Article #106,16,1
Article #107,15,0
Article #108,4,0
Article #109,13,0
Article #110,24,0
Article #111,32,0
Article #112,26,1
Article #113,27,0
Article #114,13,0
Article #115,24,1
Article #116,24,0
Article #117,26,1
Article #118,4,0
Article #119,26,1
Article #120,27,0
Article #121,28,2
Article #122,6,0
Article #123,8,0
Article #124,10,1
Article #125,17,0
Article #126,13,0
Article #127,21,1
Article #128,8,0
Article #129,25,1
Article #130,17,0
Article #131,8,0
Article #132,26,0
Article #133,25,0
Article #134,29,0
Article #135,27,0
Article #136,31,2
Article #137,14,1
Article #138,4,0
Article #139,27,0
Article #140,18,0
Article #141,32,0
Article #142,26,1
Article #143,22,1
Article #144,9,1
Article #145,24,1
Article #146,23,0
Article #147,8,0
Article #148,25,0
Article #149,9,0
Article #150,22,1
Article #151,9,0
Article #152,24,0
Article #153,18,1
Article #154,26,1
Article #155,13,1
Article #156,12,1
Article #157,9,0
Article #158,17,0
Article #159,31,2
Article #160,15,0
Article #161,26,0
Article #162,22,0
Article #163,28,0
Article #164,27,1
Article #165,4,0
Article #166,23,0
Article #167,21,1
Article #168,26,0
Article #169,19,1
Article #170,21,0
Article #171,20,1
Article #172,9,0
Article #173,7,0
Article #174,22,0
Article #175,22,0
Article #176,7,0
Article #177,6,0
Article #178,10,0
Article #179,16,0
Article #180,11,0
Article #181,24,0
Article #182,26,0
Article #183,8,0
Article #184,17,1
Article #185,26,0
Article #186,14,0
Article #187,4,0
Article #188,23,0
Article #189,18,0
Article #190,23,1
Article #191,28,1
Article #192,25,0
Article #193,10,0
Article #194,21,0
Article #195,24,1
Article #196,19,1
Article #197,24,0
Article #198,25,0
Article #199,25,0
Article #200,12,0
Article #201,15,1
Article #202,14,0
Article #203,23,0
Article #204,9,0
Article #205,9,0
Article #206,16,0
Article #207,25,1
Article #208,26,1
Article #209,18,0
Article #210,27,0
Article #211,19,0
Article #212,6,1
Article #213,21,0
Article #214,24,1
Article #215,28,1
Article #216,20,0
Article #217,26,1
Article #218,9,0
Article #219,19,0
Article #220,8,0
Article #221,11,1
Article #222,20,0
Article #223,23,1
Article #224,26,1
Article #225,8,0
Article #226,22,0
Article #227,24,0
Article #228,20,1
Article #229,30,0
Article #230,27,0
Article #231,25,0
Article #232,30,0
Article #233,26,1
Article #234,8,0
Article #235,21,0
Article #236,20,0
Article #237,26,0
Article #238,26,1
Article #239,26,1
Article #240,28,1
Article #241,9,0
Article #242,30,0
Article #243,26,0
Article #244,23,0
Article #245,20,1
Article #246,32,0
Article #247,16,0
Article #248,9,3
Article #249,27,1
Article #250,10,0
Article #251,25,1
Article #252,16,0
Article #253,11,1
Article #254,24,0
Article #255,9,0
Article #256,25,0
Article #257,10,0
Article #258,17,0
Article #259,7,0
Article #260,16,1
Article #261,8,0
Article #262,23,0
Article #263,25,1
Article #264,7,0
Article #265,8,0
Article #266,26,1
Article #267,19,0
Article #268,24,1
Article #269,12,0
Article #270,10,0
Article #271,9,0
Article #272,28,1
Article #273,22,0
Article #274,21,0
Article #275,22,1
Article #276,12,0
Article #277,14,1
Article #278,8,0
Article #279,32,0
Article #280,26,1
Article #281,26,1
Article #282,5,0
Article #283,23,0
Article #284,20,0
Article #285,12,1
Article #286,26,1
Article #287,12,0
Article #288,12,0
Article #289,26,1
Article #290,25,0
Article #291,26,0
Article #292,22,1
Article #293,28,0
